"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","340030010","3","1.8","ug/m3 LC","8","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/02/2020","AirNow","340030010","3","12.9","ug/m3 LC","53","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/03/2020","AirNow","340030010","3","20.3","ug/m3 LC","68","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/04/2020","AirNow","340030010","3","16.1","ug/m3 LC","59","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/05/2020","AirNow","340030010","3","1.4","ug/m3 LC","6","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/06/2020","AirNow","340030010","3","8.7","ug/m3 LC","36","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/07/2020","AirNow","340030010","3","9.7","ug/m3 LC","40","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/08/2020","AirNow","340030010","3","7.7","ug/m3 LC","32","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/09/2020","AirNow","340030010","3","4.1","ug/m3 LC","17","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/10/2020","AirNow","340030010","3","10.8","ug/m3 LC","45","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/11/2020","AirNow","340030010","3","10.7","ug/m3 LC","45","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/12/2020","AirNow","340030010","3","4.4","ug/m3 LC","18","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/13/2020","AirNow","340030010","3","9.9","ug/m3 LC","41","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/14/2020","AirNow","340030010","3","16.4","ug/m3 LC","60","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/15/2020","AirNow","340030010","3","17.4","ug/m3 LC","62","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/16/2020","AirNow","340030010","3","14.2","ug/m3 LC","55","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/17/2020","AirNow","340030010","3","3","ug/m3 LC","13","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/18/2020","AirNow","340030010","3","7.7","ug/m3 LC","32","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/19/2020","AirNow","340030010","3","4.8","ug/m3 LC","20","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/20/2020","AirNow","340030010","3","4.2","ug/m3 LC","18","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/21/2020","AirNow","340030010","3","6","ug/m3 LC","25","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/22/2020","AirNow","340030010","3","12.2","ug/m3 LC","51","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/23/2020","AirNow","340030010","3","24.1","ug/m3 LC","76","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/24/2020","AirNow","340030010","3","23.9","ug/m3 LC","76","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/25/2020","AirNow","340030010","3","11.9","ug/m3 LC","50","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/26/2020","AirNow","340030010","3","5.3","ug/m3 LC","22","Fort Lee Near Road","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
